"Longitude","Latitude","Parameter.Name","Date","level"
-112.07533,33.40316,"pm25",2014-01-02,17.5
-111.86507,33.41045,"pm25",2014-01-02,8.7
-111.93473,33.4124,"pm25",2014-01-02,12.9
-94.0708,33.42576,"pm25",2014-01-02,8.9
-112.11814,33.4265,"pm25",2014-01-02,23.7
-112.14257,33.48385,"pm25",2014-01-02,22.85
-86.92417,33.49972,"pm25",2014-01-02,7.6
-86.815,33.55306,"pm25",2014-01-02,7.2
-112.06626,33.56033,"pm25",2014-01-02,8.1
-112.19196,33.57454,"pm25",2014-01-02,8
-84.29048,33.68797,"pm25",2014-01-02,11
-81.85363,33.73996,"pm25",2014-01-02,9.1
-89.79278,33.83444,"pm25",2014-01-02,8.2
-97.2759,33.88081,"pm25",2014-01-02,9.9
-81.02414,33.99151,"pm25",2014-01-02,10.5
-80.9623,34.09396,"pm25",2014-01-02,8.7
-118.86944,34.20824,"pm25",2014-01-02,3.4
-79.76735,34.21426,"pm25",2014-01-02,6.8
-119.1425,34.25324,"pm25",2014-01-02,3.4
-118.68473,34.27574,"pm25",2014-01-02,1.95
-77.83861,34.36417,"pm25",2014-01-02,8.1
-118.81,34.40285,"pm25",2014-01-02,0
-119.8284,34.44551,"pm25",2014-01-02,7.1
-119.23028,34.44657,"pm25",2014-01-02,4.5
-93.00018,34.46944,"pm25",2014-01-02,13.2
-91.55896,34.51852,"pm25",2014-01-02,6.5
-94.22623,34.5837,"pm25",2014-01-02,12.6
-80.19879,34.61537,"pm25",2014-01-02,5.7
-98.42879,34.63298,"pm25",2014-01-02,6.6
-92.3287,34.68134,"pm25",2014-01-02,7.6
-86.58637,34.68767,"pm25",2014-01-02,6.3
-92.24359,34.7296,"pm25",2014-01-02,10.8
-82.2567,34.75185,"pm25",2014-01-02,9.2
-92.2813,34.75619,"pm25",2014-01-02,11.7
-89.98783,34.82166,"pm25",2014-01-02,8.7
-82.41459,34.8439,"pm25",2014-01-02,9.8
-95.78437,34.90227,"pm25",2014-01-02,10.2
-77.96078,34.95482,"pm25",2014-01-02,5.7
-85.24287,34.99455,"pm25",2014-01-02,8.7
-120.56388,35.02083,"pm25",2014-01-02,12.4
-120.5843,35.03331,"pm25",2014-01-02,18.7
-85.29297,35.05093,"pm25",2014-01-02,8.65
-87.46995,35.11597,"pm25",2014-01-02,5.7
-80.86698,35.15128,"pm25",2014-01-02,11.6
-80.78568,35.2401,"pm25",2014-01-02,12
-79.83661,35.26249,"pm25",2014-01-02,8.6
-80.88865,35.3041,"pm25",2014-01-02,9.5
-97.4841,35.3201,"pm25",2014-01-02,9
-118.99917,35.32293,"pm25",2014-01-02,76.7
-119.04121,35.35609,"pm25",2014-01-02,75.4
-77.99389,35.36921,"pm25",2014-01-02,9.5
-94.52441,35.40814,"pm25",2014-01-02,10.4
-79.2887,35.4325,"pm25",2014-01-02,6.2
-83.4437,35.43551,"pm25",2014-01-02,12.9
-84.59619,35.45011,"pm25",2014-01-02,7.6
-97.52709,35.47292,"pm25",2014-01-02,11
-120.66804,35.49158,"pm25",2014-01-02,25.5
-97.47508,35.61413,"pm25",2014-01-02,9.1
-91.18951,35.63817,"pm25",2014-01-02,7.7
-87.0096,35.65188,"pm25",2014-01-02,6.1
-88.80958,35.65315,"pm25",2014-01-02,7.2
-84.31706,35.74454,"pm25",2014-01-02,12.1
-94.6697,35.75073,"pm25",2014-01-02,13.7
-83.94215,35.76885,"pm25",2014-01-02,12.3
-115.35705,35.78567,"pm25",2014-01-02,1.75
-76.89782,35.81069,"pm25",2014-01-02,11.8
-78.57417,35.85611,"pm25",2014-01-02,13.9
-84.51713,35.88982,"pm25",2014-01-02,17.5
-84.50362,35.91676,"pm25",2014-01-02,14.2
-84.51657,35.9255,"pm25",2014-01-02,11.5
-84.5428,35.93908,"pm25",2014-01-02,9.8
-96.00498,35.95371,"pm25",2014-01-02,8.8
-89.38213,36.03892,"pm25",2014-01-02,7
-115.05288,36.04874,"pm25",2014-01-02,7
-119.56695,36.10218,"pm25",2014-01-02,75.9
-115.07873,36.14189,"pm25",2014-01-02,20.35
-115.11392,36.16396,"pm25",2014-01-02,22.5
-94.11683,36.1797,"pm25",2014-01-02,13.6
-85.49211,36.1857,"pm25",2014-01-02,7
